Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity,Active Stock,,,
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,1,0,7,0,7,,,
DOXINATE STRIP OF 30 TABLETS,OBGY,INFUSION,0,75,0,75,,,
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,BOTTLE,72,975,142,905,,,
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,INJECTION,0,300,0,300,,,
DOXYGLEX,GENERAL MEDICINE,STRIP,2,25,1,26,,,
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,STRIP,0,14,0,14,,,
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,AMPOULE,4,4,4,4,,,
DOXYMYCIN,GENERAL MEDICINE,STRIP,0,126,3,123,,,
DOXYTREAT LB,GENERAL MEDICINE,AMPOULE,6,6,6,6,,,
DOXYWELL 100MG,GENERAL MEDICINE,STRIP,4::6,30,4,#VALUE!,,,
DREP WAX EAR DROPS 10ML,ENT,AMPOULE,1,1,1,1,,,
DROGYNA STRIP OF 10 TABLETS,OBGY,BOTTLE,0,1,0,1,,,
DROGYNA STRIP OF 8 TABLETS,OBGY,BOTTLE,4,6,4,6,,,
DROTIN INJECTION,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL SURGERY,STRIP,7,10,0,17,,,
DOPAR 200MG INJECTION,GENERAL MEDICINE,AMPOULE,5,5,5,5,,,
DOXIMYCIN TAB,GENERAL MEDICINE,METER,0,2,0,2,,,
DOXINATE 24 TABLET 15'S,OBGY,TAB,1,120,0,121,,,
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,STRIP,20,440,19,441,,,
DOXINATE STRIP OF 30 TABLETS,OBGY,STRIP,1,4,0,5,,,
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,STRIP,1,1,1,1,,,
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,15,8,0,23,,,
DOXYGLEX,GENERAL MEDICINE,STRIP,0,21,0,21,,,
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,INJ,4,6,4,6,,,
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,STRIP,4,20,0,24,,,
DOXYMYCIN,GENERAL MEDICINE,STRIP,1,20,0,21,,,
DOXYTREAT LB,GENERAL MEDICINE,TAB,0,10,0,10,,,
DOXYWELL 100MG,GENERAL MEDICINE,CAP,5,20,0,25,,,
DREP WAX EAR DROPS 10ML,ENT,TAB,2,20,1,21,,,
DROGYNA STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,2,2,2,2,,,
DROGYNA STRIP OF 8 TABLETS,GENERAL MEDICINE,TAB,14,45,2,57,,,
DROTIN INJECTION,GENERAL MEDICINE,STRIP,0,27,0,27,,,
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL MEDICINE,AMPOULE,3,0,3,0,,,
DULCOFLEX 5MG SUPPOSITORY FOR CHILDREN - 5'S,PED,STRIP,3,10,0,13,,,
DULCOLAX 5MG SUPPOS CHILD,PED,STRIP,0,15,3,12,,,
DUOLIN,GENERAL MEDICINE,STRIP,11,15,4,22,,,
DUOLIN 3 PACKET OF 5*3ML RESPULES,GENERAL MEDICINE,RESPULS,6,55,6,55,,,
DUOLIN ROTACAP,GENERAL MEDICINE,PACKET,0,385,0,385,,,
DUONEM ER 300MG STRIP OF 6 TABLETS,GENERAL MEDICINE,STRIP,0,4,0,4,,,
DUOSURE TUBE OF 30GM GEL,GENERAL MEDICINE,STRIP,0,1,0,1,,,
DUPHALAC BULK BOTTLE OF 160ML SOLUTION,GENERAL MEDICINE,TUBE,0,12,0,12,,,
DUPHALAC FIBER SOLUTION 200ML,GENERAL MEDICINE,BOTTLE,3,46,3,46,,,
DUPHALAC SOLUTION 150ML,GENERAL MEDICINE,BOTTLE,1,3,0,4,,,
DUPHALAC SOLUTION 250ML,GENERAL MEDICINE,BOTTLE,0,25,4,21,,,
DURACREPE 15CMX4M,GENERAL SURGERY,BOTTLE,0,4,0,4,,,
DUTAS 0.5MG STRIP OF 30 CAPSULES,GENERAL MEDICINE,BANDAGE,1,60,1,60,,,
DUVADILAN INJ 2ML,OBGY,PACKET,0,20,0,20,,,
DUVADILAN RETARD 40MG CAP,OBGY,STRIP,1,1,1,1,,,
DVIT 60K,GENERAL MEDICINE,AMPOULE,0,1,0,1,,,
DVIT 60K ORAL SOLUTION 5ML BOTTLE,GENERAL MEDICINE,STRIP,12,262,7,267,,,
DVITAL 60K STRIP OF 4 TABLETS,GENERAL MEDICINE,SACHET,0,6,0,6,,,
DVN PLUS TABLET,GENERAL MEDICINE,5ML,26,2200,32,2194,,,
DYDROBOON TABLET 10'S,OBGY,STRIP,5,162,3,164,,,
DYDROHOPE,OBGY,STRIP,5,3,0,8,,,
DYDROPAL,OBGY,STRIP,1,43,0,44,,,
DYNA ANKLE IMMOBILISER-UNIVERSAL,ORTH,TAB,0,80,0,80,,,
DYNA ARM SLING POUCH-MEDIUM,ORTH,TAB,0,16,0,16,,,
DYNA KNEE CAP SIMPLE LARGE,ORTH,PACKET,0,1,1,0,,,
DYNA KNEE MEDIUM,ORTH,PACKET,0,1,0,1,,,
DYNA SOFT CERVICAL COLLAR LARGE,ORTH,BOX,0,1,0,1,,,
DYNA SOFT CERVICAL COLLAR MEDIUM,ORTH,CAP,1,3,1,3,,,
DYNAGLIPT M STRIP OF 10 TABLETS,GENERAL MEDICINE,BOX,0,1,0,1,,,
DYNAMIC STERIZONE WP PIC WD ST 80 TOPICAL PAD,GENERAL SURGERY,BOX,0,1,0,1,,,
DYNAMIC TOP O PLAST ELASTIC 10 CM X 1/2 M,GENERAL SURGERY,STRIP,0,3,0,3,,,
DYNAPAR AQ 75MG PFS INJ 1ML,GENERAL MEDICINE,BOX,1,25,1,25,,,
DYNAPAR AQ PFS,GENERAL MEDICINE,BOX,0,2,0,2,,,
DYNAPAR QPS 4 % SPRAY 15 ML,GENERAL MEDICINE,AMPOULE,7,60,7,60,,,
DYNAPAR QPS PLUS SOLUTION,GENERAL MEDICINE,INJ,0,20,0,20,,,
DYTOR 10MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,3,57,5,55,,,
DYTOR 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0,4,0,4,,,
DYTOR PLUS 10MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,12,8,2,18,,,
DYTOR PLUS 10MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,2,2,2,2,,,
DYTOR PLUS 5MG TAB 15'S,GENERAL MEDICINE,STRIP,1,11,0,12,,,
EBEXID STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,8,6,1,13,,,
ECG ELECTRODES,GENERAL SURGERY,STRIP,0,2,0,2,,,
ECG LEADS,GENERAL SURGERY,BANDAGE,89,1620,231,1478,,,
ECO ALL LIQUID 10*5ML,GENERAL MEDICINE,EASY FIX,0,1046,0,1046,,,
ECOMERO,GENERAL MEDICINE,STRIP,6,15,3,18,,,
ECONORM SACHET OF 6GM POWDER,GENERAL MEDICINE,BOX,4,10,0,14,,,
ECOSPRIN 150MG STRIP OF 14 TABLETS,GENERAL MEDICINE,PACKET,773,1152,713,1212,,,
ECOSPRIN 325MG TABLET,GENERAL MEDICINE,BOTTLE,0,18,3,15,,,
ECOSPRIN 75MG STRIP OF 14 TABLETS,GENERAL MEDICINE,INFUSION,0,5,0,5,,,
ECOSPRIN AV 150/20MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,SACHET,8,218,10,216,,,
ECOSPRIN AV 75/20 MG CAPSULE 15,GENERAL MEDICINE,STRIP,11,78,6,83,,,
ECOSPRIN AV 75MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,9,3,1,11,,,
ECOSPRIN GOLD 10MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,14,261,7,268,,,
ECOSPRIN GOLD 20MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,4,5,5,4,,,
EFECTAL-TZ 1000/125 MG INJECTION 1 ML,GENERAL MEDICINE,STRIP,1,0,0,1,,,
EFEM 1000MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,11,39,3,47,,,
EFEM CAPSULE,GENERAL MEDICINE,STRIP,5,6,2,9,,,
ELDERVIT 12 INJECTION 1.5ML,GENERAL MEDICINE,STRIP,5,3,2,6,,,
ELIWEL 10MG TABLET,GENERAL MEDICINE,INJECTION,0,24,2,22,,,
ELTROXIN 25MCG BOTTLE OF 100 TABLETS,GENERAL MEDICINE,STRIP,14,178,5,187,,,
ELTROXIN 50MCG BOTTLE OF 120 TABLETS,GENERAL MEDICINE,STRIP,0,87,0,87,,,
ELTROXIN 75MCG BOTTLE OF 120 TABLETS,GENERAL MEDICINE,AMPOULE,15,182,38,159,,,
EMANZEN D TABLET,GENERAL MEDICINE,PACKET,0,5,0,5,,,
EMENORM INJ 2ML,GENERAL MEDICINE,PACKET,6,105,14,97,,,
EMESET 2MG INJ 4ML,GENERAL MEDICINE,STRIP,10,49,3,56,,,
EMESET 2MG JUICY LEMON FLAV SYRUP 30ML,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
EMESET 2MG/ML INJ 2ML,GENERAL MEDICINE,BOTTLE,0,5,0,5,,,
EMESET 4MG TABLET,GENERAL MEDICINE,BOTTLE,1,1,0,2,,,
EMILDAP 10/100,GENERAL MEDICINE,STRIP,31,1470,28,1473,,,
EMILDAP S 10/100,GENERAL MEDICINE,AMPOULE,3,31,3,31,,,
EMILDAP S 5/50,GENERAL MEDICINE,VIAL,0,20,0,20,,,
EMTY BOTTLE OF 100ML SOLUTION,GENERAL MEDICINE,BOTTLE,0,6,0,6,,,
ENCICARB 100MG INJ 2ML,GENERAL MEDICINE,AMPOULE,0,20,0,20,,,
ENDOCRYL INJ 1ML,GENERAL SURGERY,STRIP,0,1,0,1,,,
ENDOGEST SR 200MG TABLET,OBGY,TAB,1,10,1,10,,,
ENDOPROST 250MCG INJ,OBGY,TAB,14,48,5,57,,,
ENDOTRACHEAL TUBE 5.5MM,GENERAL SURGERY,TAB,2,7,0,9,,,
ENDOTRACHEAL TUBE 6.0MM,GENERAL SURGERY,BOTTLE,8,196,8,196,,,
ENDOTRACHEAL TUBE 8.0MM,GENERAL SURGERY,VIAL,0,0,0,0,,,
ENEMA BOTLE,GENERAL MEDICINE,VIAL,1,5,0,6,,,
ENERZIP POWDER,GENERAL MEDICINE,STRIP,0,1,0,1,,,
ENOXAPARIN 40,GENERAL MEDICINE,INJECTION,3,14,3,14,,,
ENTROFLORA SUSPENSION 10*5ML,GENERAL MEDICINE,PACKET,2,3,0,5,,,
ENTROFLORA,GENERAL MEDICINE,PACKET,0,1,0,1,,,
ENTROGERMINA,GENERAL MEDICINE,PACKET,1,3,0,4,,,
ENTROMAX SUSPENSION 5ML,GENERAL MEDICINE,ENEMA,19,137,12,144,,,
ENERZIP POWDER,GENERAL MEDICINE,BOX,687,12081,26,12742,,,
ENOXAPARIN 40,GENERAL MEDICINE,INJ,0,6,0,6,,,
ENTROFLORA SUSPENSION 10*5ML,GENERAL MEDICINE,BOTTLE,4,86,10,80,,,
ENTROFLORA,GENERAL MEDICINE,SUSPENSION,0,115,0,115,,,
ENTROGERMINA,GENERAL MEDICINE,SUSP,0,43,0,43,,,
ENTROMAX SUSPENSION 5ML,GENERAL MEDICINE,BOTTLE,1,12,0,13,,,
ENZOMAC CM MINI BOTTLE OF 10ML PARTICLES,GENERAL MEDICINE,MINI BOTTLE,1,1,1,1,,,
ENZOMAC CM MINI BOTTLE OF 5ML PARTICLES,GENERAL MEDICINE,MINI BOTTLE,1,12,1,12,,,
ENZORUX FORTE,GENERAL MEDICINE,TAB,9,40,1,48,,,
ENZOX PLUS TABLET,GENERAL MEDICINE,STRIP,9,230,3,236,,,
ENZYPLEX STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,4,77,3,78,,,
EPICETAM VIAL 5 ML,GENERAL MEDICINE,INJ,0,30,1,29,,,
EPIDOSIN INJ 1ML,OBGY,VIAL,6,35,1,40,,,
EPSOLIN INJECTION,GENERAL MEDICINE,AMPOULE,0,0,0,0,,,
EPTOIN INJ AMP,GENERAL MEDICINE,18G,0,4,0,4,,,
ERITEL LN 40 MG TAB 15'S,GENERAL MEDICINE,BOX,0,3,0,3,,,
ESCEROL INJ,GENERAL MEDICINE,INJECTION,3,3,3,3,,,
ESOIN DSR,GENERAL MEDICINE,AMPOULE,5,15,10,10,,,
ESOLE 10MG SACHET OF 1GM GRANULES,GENERAL MEDICINE,STRIP,0,2,0,2,,,
ESOMAC 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,INJECTION,97,1254,0,1351,,,
ESOMAC 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,CAP,22,3849,66,3805,,,
ESOMAC IV 40MG VIAL OF 0.04GM POWDER,GENERAL MEDICINE,SACHET,3,5,0,8,,,
ESOMORE DSR STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,11,6,0,17,,,
ET TUBE 6.5,GENERAL SURGERY,STRIP,8,63,0,71,,,
ET TUBE CUFFED NO.7.5,GENERAL SURGERY,VIAL,0,120,0,120,,,
ET TUBE CUFFED SIZE 5.0,GENERAL SURGERY,STRIP,0,5,0,5,,,
ET TUBE CUFFED SIZE 8.0,GENERAL SURGERY,PACKET,5,5,5,5,,,
ET TUBE SIZE 7,GENERAL SURGERY,PACKET,0,1,0,1,,,
ETHIBOND SINGAL NEEDLE LS,GENERAL SURGERY,PACKET,3,5,2,6,,,
ETHIBONDSINGAL NEEDLE LS,GENERAL SURGERY,PACKET,0,4,3,1,,,
ETHICON ETHILON USP 1 1/2 CIRCLE,GENERAL SURGERY,PACKET,2,7,2,7,,,
ETHICON VICRYL RAPIDE SUTURES USP 3-0,GENERAL SURGERY,4845,6,6,3,9,,,
ETHILON 1 N W 3348 RB,GENERAL SURGERY,4842,3,3,0,6,,,
ETHILON 1 NW 3347,GENERAL SURGERY,BOX,4,5,4,5,,,
ETHILON 2 0 NW 3336,GENERAL SURGERY,BOX,3,3,3,3,,,
ETHILON 3 0 NW 3321,GENERAL SURGERY,LOOP,0,3,0,3,,,
ETHILON 3 0 NW 3328,GENERAL SURGERY,BOX,1,2,1,2,,,
ETHILON 4 0 NW 3319,GENERAL SURGERY,BOX,0,194,21,173,,,
ETHILON 6 0 NW 3320,GENERAL SURGERY,BOX,0,6,0,6,,,
ETHILON 8 0 NW 3322,GENERAL SURGERY,BOX,9,133,11,131,,,
ETHILON 8 0 NW 3708,GENERAL SURGERY,BOX,,10,4,6,,,
ETHILON NO 1,GENERAL SURGERY,BOX,2,2,2,2,,,
ETIZOLA 0.25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOX,5,0,5,0,,,
ETIZOLA 0.5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOX,6,12,6,12,,,
ETIZOLA PLUS 10MG TABLET,GENERAL MEDICINE,3338,5,5,5,5,,,
ETOTREAT P,GENERAL MEDICINE,STRIP,0,2,0,2,,,
EUCALYPTUS OIL 15ML,GENERAL MEDICINE,STRIP,0,13,1,12,,,
EUMOSONE 0.05% CREAM,GENERAL MEDICINE,STRIP,3,26,4,25,,,
EUMOSONE 0.05% TUBE OF 20GM CREAM,GENERAL MEDICINE,TAB,0,1,0,1,,,
EUPEN 1GM INJ,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
EUSOL SOLUTION 400ML,GENERAL SURGERY,TUBE,2,4,2,4,,,
EVACEF 1GM INJ,GENERAL MEDICINE,TUBE,2,2,2,2,,,
EVATOCIN 5IU INJ 1ML,OBGY,INJECTION,2,14,2,14,,,
EVION 400MG CAP 10'S,GENERAL MEDICINE,BOTTLE,7,38,10,35,,,
EVION 400MG STRIP OF 20 CAPSULE,GENERAL MEDICINE,INJECTION,0,25,0,25,,,
EVRONGEST 200 SR,OBGY,AMPOULE,0,30,0,30,,,
EVRONGEST 300 SR,OBGY,STRIP,10,51,0,61,,,
EXAMINATION GLOVES LOOSE (M),GENERAL SURGERY,STRIP,18,26,4,40,,,
EXAMINATION GLOVES,GENERAL SURGERY,TAB,1,18,1,18,,,
EXPAVON INF,GENERAL MEDICINE,TAB,0,0,0,0,,,
EXTENSION SET 100CM,GENERAL SURGERY,TAB,2,18,2,18,,,
EXTENSION SET 10CM,GENERAL SURGERY,PACKET,2130,23100,3017,22213,,,
EXTENSION TUBE,GENERAL SURGERY,PACKET,4,12,4,12,,,
EYELET SOFT COLLAR,ORTH,INJECTION,1,16,0,17,,,
EZI HALE STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,4,11,3,12,,,
EZINAPI PLUS CREAM 10 GM,GENERAL MEDICINE,BOX,2,70,0,72,,,
EZINAPI PLUS TUBE OF 10GM CREAM,GENERAL MEDICINE,PACKET,1,10,1,10,,,
FACE MASK,GENERAL SURGERY,200CM,1,18,5,14,,,
FACER MR STRIP OF 10 TABLETS,GENERAL MEDICINE,LARGE,1,2,1,2,,,
FARLIN BREAST SHIELD,PED,XL,2,2,2,2,,,
FAS 3 KIT,GENERAL MEDICINE,STRIP,24,18,17,25,,,
FB-RICH,GENERAL MEDICINE,TUBE,1,8,1,8,,,
FCF Z TAB 10'S,GENERAL MEDICINE,TUBE,0,1,0,1,,,
FEBREX PLUS,GENERAL MEDICINE,BOTTLE,50,370,0,420,,,
FEBRINIL INJ 2ML,GENERAL MEDICINE,STRIP,0,3,0,3,,,
FEBRINIL INJECTION 20ML,GENERAL MEDICINE,BOX,0,4,0,4,,,
FEBUGET 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,3,4,3,4,,,
FEBUGET 80MG TABLET,GENERAL MEDICINE,TAB,12,12,12,12,,,
FEBUSTAT 80MG STRIP OF 15,GENERAL MEDICINE,STRIP,5,200,0,205,,,
FEEDY FEEDING TUBE FG-06,PED SURGERY,TAB,14,104,3,115,,,
FEEDY FEEDING TUBE FG-07,PED SURGERY,AMPOULE,0,0,0,0,,,
FEEDYB FEEDING TUBE FG-05,PED SURGERY,VIAL,6,11,6,11,,,
FEMILON TABLET,OBGY,STRIP,3,5,2,6,,,
FERCEE INJ,GENERAL MEDICINE,STRIP,0,5,0,5,,,
FERCEE XT TAB 10'S,GENERAL MEDICINE,STRIP,14,5,0,19,,,
FERICA XT TOTAL,GENERAL MEDICINE,PACKET,168,233,159,242,,,
FERINJECT 500MG INJ 10ML,GENERAL MEDICINE,PACKET,164,253,150,267,,,
FEROBACT ER 300MG STRIP OF 6 TABLETS,GENERAL MEDICINE,PACKET,1,5,1,5,,,
FEROCAD INJECTION 5 ML,GENERAL MEDICINE,STRIP,5,302,5,302,,,
FEROGLEN -FCM,GENERAL MEDICINE,INJECTION,0,10,3,7,,,
FERTISURE F TABLET 10'S,OBGY,STRIP,8,0,0,8,,,
FERTYL GOLD STRIP OF 15 TABLETS,OBGY,TAB,19,638,20,637,,,
FIAXONE 1 GM,GENERAL MEDICINE,INJ,0,5,0,5,,,
FICO P STRIP OF 10 TABLETS,GENERAL MEDICINE,VIAL,0,1,0,1,,,
FIDNOX 60MG,GENERAL MEDICINE,STRIP,0,0,0,0,,,
FIDZEE 250,GENERAL MEDICINE,INJECTION,0,10,0,10,,,
FIDZEE 500,GENERAL MEDICINE,INJ,0,2,2,0,,,
FINE NERVE STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0,3,0,3,,,
FLAGYL 200MG TABLET,GENERAL MEDICINE,STRIP,0,2,0,2,,,
FLAGYL 400MG TABLET,GENERAL MEDICINE,INJ,163,770,0,933,,,
FLAGYL,GENERAL MEDICINE,STRIP,23,25,2,46,,,
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,GENERAL SURGERY,INJ,0,0,0,0,,,
FLAMIGO SKIN TRACTION KIT,ORTH,TAB,,12,9,3,,,
FLAMINGO ARM SLING POUCH LARGE 1'S,ORTH,TAB,2,12,2,12,,,
FLAMINGO ARM SLING POUCH MEDIUM 1'S,ORTH,STRIP,1,95,0,96,,,
FLAMINGO BASE BALL SPLINT SIZE MEDIUM,ORTH,STRIP,13,5,0,18,,,
FLAMINGO CERVICAL COLLAR W/ NECK SUPPORT XL,ORTH,STRIP,15,155,6,164,,,
FLAMINGO CLAVICLE,ORTH,SUSP,0,5,0,5,,,
FLAMINGO CLAVICLE BRACE LARGE,ORTH,BOX,11,153,9,155,,,
FLAMINGO COT SPLINT,ORTH,SET,0,1,0,1,,,
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,TAPE,5,5,5,5,,,
FLAMINGO ABDOMINAL BELT LARGE 1'S,GENERAL SURGERY,BOX,0,13,3,10,,,
FLAMINGO ABDOMINAL BELT MEDIUM,GENERAL SURGERY,BOX,2,8,4,6,,,
FLAMINGO ABDOMINAL BELT XL,GENERAL SURGERY,BOX,0,20,3,17,,,
FLAMINGO ABDOMINAL BELT XXL,GENERAL SURGERY,BOX,0,2,0,2,,,
FLAMINGO ARM SLING POUCH LARGE 1'S,ORTH,PACKET,0,3,1,2,,,
FLAMINGO ARM SLING POUCH MEDIUM 1'S,ORTH,PACKET,0,3,2,1,,,
FLAMINGO BASE BALL SPLINT SIZE MEDIUM,ORTH,SPLINT,1,2,1,2,,,
FLAMINGO CERVICAL COLLAR W/ NECK SUPPORT XL,ORTH,PACKET,2,2,1,3,,,
FLAMINGO CLAVICLE,ORTH,PACKET,0,1,0,1,,,
FLAMINGO CLAVICLE BRACE LARGE,ORTH,BRACE,0,1,1,0,,,
FLAMINGO COT SPLINT,ORTH,BRACE,0,3,3,0,,,
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,PACKET,0,3,3,0,,,
FLAMINGO COT SPLINT,ORTH,BOX,0,1,0,1,,,
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,PACKET,0,3,0,3,,,
FLAMINGO ELASTIC KNEE SUPPORT SIZE MEDIUM,ORTH,BRACE,0,1,0,1,,,
FLAMINGO FLAMICREPE COTTON 4 M X 10 CM CREPE BANDAGE 1 NO'S,GENERAL SURGERY,PACKET,0,1,1,0,,,
FLAMINGO FLAMICREPE COTTON CREPE BANDAGE 5 CM,GENERAL SURGERY,COT SPLINT,1,2,0,3,,,
FLAMINGO GEL PATELLA L KNEE CAP 1 NO'S,ORTH,COT SPLINT,1,2,0,3,,,
FLAMINGO GEL TENNIS ELBOW SUPPORT SIZE LARGE,ORTH,PACKET,5,98,7,96,,,
FLAMINGO HINGED KNEE CAP SIZE LARGE,ORTH,PACKET,0,1,0,1,,,
FLAMINGO KNEE BRACE LARGE 1'S,ORTH,SPLINT,1,2,1,2,,,
FLAMINGO KNEE BRACE SHORT SIZE MEDIUM,ORTH,SPLINT,2,2,1,3,,,
FLAMINGO KNEE CAP MEDIUM ONE PAIR,ORTH,BOX,7,7,7,7,,,
FLAMINGO KNEE CAP XL ONE PAIR 2'S,ORTH,PACKET,0,1,0,1,,,
FLAMINGO PELVIC BINDER - MEDIUM,ORTH,PACKET,2,2,1,3,,,
FLAMINGO PELVIC BINDER - SMALL,ORTH,CAP,1,2,1,2,,,
FLAMINGO SHOULDER SUPPORT MEDIUM,ORTH,LONG,1,4,0,5,,,
FLAMINGO SPOON SPLINT SIZE MEDIUM,ORTH,PACKET,1,4,0,5,,,
FLAMINGO THUMB SPICA SPLINT LARGE,ORTH,PACKET,0,1,1,0,,,
FLAMINGO THUMB SPICA SPLINT M 1'S,ORTH,PACKET,2,3,2,3,,,
FLAMINGO WRIST COCK UP SPLINT MEDIUM,ORTH,BOX,0,0,0,0,,,
FLANZEN 10MG STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0,8,4,4,,,
FLANZEN 5MG TABLET,GENERAL MEDICINE,PACKET,4,6,2,8,,,
FLAZEN TABLET,GENERAL MEDICINE,PACKET,0,5,2,3,,,
FLEMICLAV FORTE DRY SYRUP 30ML,GENERAL MEDICINE,PACKET,2,3,2,3,,,
FLEXHEAL D,GENERAL MEDICINE,PACKET,1,3,1,3,,,
FLOMIST AZ NASAL SPRAY 100 MDI,ENT,BINDER,0,2,0,2,,,
FLORA BC DRY SYP,GENERAL MEDICINE,PACKET,1,4,1,4,,,
FLORA BC NF STRIP OF 10 CAPSULES,GENERAL MEDICINE,PACKET,0,1,0,1,,,
FLOXORIS,GENERAL MEDICINE,IMMOBILISER,0,6,3,3,,,
FLUBIGAT EYE DROPS 5ML,ENT,IMMOBILISER,0,2,0,2,,,
FLUCAN 200MG CAPSULE,GENERAL MEDICINE,IMMOBILISER,0,4,2,2,,,
FLUCOS 0.5% GEL 15GM,GENERAL MEDICINE,SUPPORT,0,1,1,0,,,
FLUNARIN 5MG TABLET,GENERAL MEDICINE,IMMOBILISER,0,8,2,6,,,
FLUSHIT SYP,GENERAL MEDICINE,PACKET,0,1,1,0,,,
FLUTIVATE CREAM 5GM,GENERAL MEDICINE,SPLINT,2,2,2,2,,,
FLUTIVIN NASAL SPRAY,ENT,PACKET,2,2,1,3,,,
FLYFOL,GENERAL MEDICINE,PACKET,0,3,0,3,,,
FLYFOL D,GENERAL MEDICINE,BOX,1,4,0,5,,,
FOL 5MG STRIP OF 30 TABLETS,GENERAL MEDICINE,PACKET,0,2,1,1,,,
FOLEY CATHETER 10,GENERAL SURGERY,PLAST,6,109,14,101,,,
FOLEY CATHETER NO 20,GENERAL SURGERY,4.6MTR,8,54,5,57,,,
FOLEYS CATHETER NO 18,GENERAL SURGERY,10CM* 9M,9,12,9,12,,,
FOLITRAX 5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,4,1,0,5,,,
FOLYS CATHETAR,GENERAL SURGERY,STRIP,0,4,0,4,,,
FORCAN 200MG STRIP OF 4 TABLETS,GENERAL MEDICINE,STRIP,0,1,0,1,,,
FRACKSTAR,GENERAL MEDICINE,BOTTLE,3,3,3,3,,,
FRESOFLOX INF,GENERAL MEDICINE,TAB,11,11,11,11,,,
FRISIUM 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0,6,0,6,,,
FULSTRCH TP TAB 10'S,GENERAL MEDICINE,BOTTLE,0,8,0,8,,,
FUNGICROS CREAM 30GM,GENERAL MEDICINE,STRIP,0,51,5,46,,,
FUNGIFORCE 200,GENERAL MEDICINE,IV,0,3,0,3,,,
FUR XT STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,1,1,1,1,,,
FUR XT TABLET 15'S,GENERAL MEDICINE,STRIP,1,0,1,0,,,
FURIC 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,TUBE,0,1,0,1,,,
G-DRESS SWIMPROOF DRESSING NON WOVEN SWIMPROOF GDSP20,GENERAL SURGERY,STRIP,0,1,0,1,,,
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,GENERAL SURGERY,SYR,3,223,11,215,,,
G DRESS COMFY DRESSING 6 X 5 CM WOUND PAD 2 X 3 CM GD5 250 NO'S,GENERAL SURGERY,TUBE,1,1,1,1,,,
G75 POWDER 75GM,GENERAL MEDICINE,BOTTLE,-1,0,-1,0,,,
GABTAN NT,GENERAL MEDICINE,TAB,4,20,4,20,,,
GABTIN,GENERAL MEDICINE,CAP,25,257,11,271,,,
GABTN,GENERAL MEDICINE,STRIP,8,32,1,39,,,
GALACT BOTTLE OF 200GM GRANULES,GENERAL MEDICINE,PACKET,0,5,0,5,,,
